Account,Closed PnL_sum,Closed PnL_mean,Closed PnL_std,Closed PnL_count,position_value_sum,position_value_mean,position_value_max,Size Tokens_sum,Size Tokens_mean,Size Tokens_std,win_rate,profit_factor,risk_adjusted_return,trading_frequency,consistency_score
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.9421,41.4741,220.3877,3052,10992355.74,3601.6893,400000.0,4985260.9824,1633.4407,4675.1379,28.538663171690693,191.40172481457287,0.18818699954670792,3052,0.18818699954670792
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.8753,6.8121,68.2349,15605,19868207.98,1273.195,414876.88,4164181.7066,266.8492,2489.6648,34.57866068567767,11.471318148407192,0.09983307662208049,15605,0.09983307662208049
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.4843,174.6918,976.0688,417,861809.4,2066.6892,97708.22,701612.0581,1682.5229,8242.495,57.31414868105516,5.095726132351362,0.17897488373770373,417,0.17897488373770373
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.6195,120.5073,474.8098,563,1677425.72,2979.4418,42981.41,6627804.4986,11772.2993,29339.445,40.852575488454704,inf,0.25380120629355163,563,0.25380120629355163
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.8318,40.7469,288.2661,534,4448323.26,8330.1934,174720.0,71.5849,0.1341,0.4317,32.20973782771536,6.63440900816173,0.1413516885960576,534,0.1413516885960576
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.5977,145.4817,1374.0264,14733,56543565.23,3837.8854,102878.22,90349567.0115,6132.4623,199806.2443,33.713432430597976,36.095615743551,0.10587984335672153,14733,0.10587984335672153
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.5008,4.6483,332.0834,4838,108877041.1,22504.5558,1613842.3,1297052.7381,268.0969,6398.7791,43.861099627945435,1.2414583601225258,0.013997387403284838,4838,0.013997387403284838
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.8062,44.3641,567.7628,21192,68036340.24,3210.4728,1120971.6,4425939.3807,208.8495,930.6009,46.75821064552662,27208.369846921258,0.07813844091229648,21192,0.07813844091229648
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.0619,83.4983,1530.525,2641,20737391.71,7852.0983,643980.69,10148425.6976,3842.6451,49179.2493,32.75274517228323,1.6521954150293017,0.05455533232060894,2641,0.05455533232060894
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.5531,20.8063,264.1239,40184,74107810.44,1844.2119,157522.46,3877302.7903,96.4887,287.8596,42.8230141349791,3.8624766240981994,0.07877477199147824,40184,0.07877477199147824
